px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.2647	-12.9094	-2.6187	-0.575783	-1.08379	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	1.97855
6.10126	-12.8629	-2.65747	-0.599697	-1.04193	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.91638
5.98311	-12.7479	-2.72796	-0.695459	-1.11174	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.99808
5.83101	-12.6866	-2.76863	-0.716221	-1.07084	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	2.0135
5.71963	-12.6219	-2.70037	-0.731167	-1.00155	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.05396
5.56669	-12.557	-2.72712	-0.746127	-0.957549	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.54759
5.45203	-12.4409	-2.75757	-0.809405	-0.975583	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.09615
5.29151	-12.3709	-2.78848	-0.813069	-0.921296	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	2.17709
5.18331	-12.2761	-2.76661	-0.844736	-0.895116	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.976425
5.04227	-12.1888	-2.7863	-0.858086	-0.856566	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	1.0208
4.94647	-12.0765	-2.79869	-0.901197	-0.857083	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.478134
4.83024	-11.9912	-2.80731	-0.914651	-0.826235	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.665222
4.7359	-11.8634	-2.82052	-0.962752	-0.831621	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.238091
4.64801	-11.7367	-2.82068	-1.00618	-0.829184	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.00450967
4.57796	-11.6304	-2.75137	-1.03607	-0.803542	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.49188
4.51066	-11.5084	-2.73942	-1.07979	-0.804241	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.277127
4.42238	-11.3373	-2.88795	-1.13905	-0.837005	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	25.8322
4.3886	-11.1907	-2.88543	-1.20129	-0.858633	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.277012
4.37545	-11.0619	-2.78644	-1.26592	-0.878506	4.43713	-11.024	4.45	-11.05	0	1.81614	11.0756
4.3642	-10.9096	-2.77498	-1.33631	-0.902968	4.45136	-10.93	4.45	-10.95	0	1.81612	0.471714
4.34226	-10.7613	-2.76648	-1.39283	-0.911209	4.44745	-10.786	4.45	-10.8	0	2.72555	0.156954
4.35524	-10.6084	-2.75463	-1.46841	-0.939473	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.689662
4.35498	-10.462	-2.74305	-1.52814	-0.950159	4.46329	-10.5756	4.45	-10.5	0	2.729	0.341176
4.3752	-10.3112	-2.7374	-1.59653	-0.967916	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.287413
